Complexity metrics,ÖÜÈý, 23 3ÔÂ 2022 17:59:14 CST
Method,CogC,ev(G),iv(G),v(G)
Lexer.Lexer(String),0,1,1,1
Lexer.bracketRight(),10,1,9,9
Lexer.consumeWhite(),2,1,2,3
Lexer.getNumber(),2,1,3,3
Lexer.getPos(),0,1,1,1
Lexer.next(),6,2,5,6
Lexer.peek(),0,1,1,1
Lexer.pow(),10,1,9,9
MainClass.main(String[]),2,1,3,3
Parser.Parser(Lexer),0,1,1,1
Parser.parseExpr(),5,1,5,5
Parser.parseFactor(),13,7,8,8
Parser.parseTerm(),3,1,4,4
expr.Const.Const(BigInteger),0,1,1,1
expr.Const.getNum(),0,1,1,1
expr.Const.toString(),1,1,2,2
expr.Expr.Expr(),0,1,1,1
"expr.Expr.Expr(ArrayList<Term>, BigInteger)",0,1,1,1
"expr.Expr.Expr(Expr, String)",0,1,1,1
expr.Expr.addTerm(Term),0,1,1,1
expr.Expr.expand(),1,1,2,2
expr.Expr.getCoeff(Term),3,1,3,3
expr.Expr.getExp(Term),3,1,3,3
expr.Expr.getFirst(),15,6,8,9
expr.Expr.getIndex(),0,1,1,1
expr.Expr.getTermArrayList(),0,1,1,1
expr.Expr.mulExpr(Expr),3,1,3,3
expr.Expr.setIndex(String),0,1,1,1
expr.Expr.simplify(),10,3,7,7
expr.Expr.toString(),6,5,4,6
expr.Pow.Pow(String),0,1,1,1
expr.Pow.getIndex(),0,1,1,1
expr.Pow.toString(),3,4,3,4
expr.Term.addFactor(Factor),0,1,1,1
expr.Term.expand(),6,1,5,5
expr.Term.getFactorArrayList(),0,1,1,1
expr.Term.mulFactorPowConst(),5,1,4,4
expr.Term.mulTerm(Term),6,1,5,5
expr.Term.setFactorArrayList(ArrayList<Factor>),0,1,1,1
expr.Term.toExprBrackets(),11,1,5,5
expr.Term.toString(),13,1,5,7

Class,OCavg,OCmax,WMC
Lexer,2.88,6,23
MainClass,2.00,2,2
Parser,3.75,8,15
expr.Const,1.33,2,4
expr.Expr,2.64,7,37
expr.Pow,2.00,4,6
expr.Term,3.50,6,28

Package,v(G)avg,v(G)tot
,4.15,54
expr,2.82,79

Module,v(G)avg,v(G)tot
homework1,3.24,133

Project,v(G)avg,v(G)tot
project,3.24,133

